City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mount isa,-20.7333,139.5,28.87,51,75,4.12,AU,1715141251
83,tavda,58.0425,65.2726,3.16,63,98,2.68,RU,1715141252
84,mahina,-17.5065,-149.489,27.87,74,20,3.09,PF,1715141252
85,arraial do cabo,-22.9661,-42.0278,24.03,90,1,9.64,BR,1715141252
86,olonkinbyen,70.9221,-8.7187,0.35,95,100,9.2,SJ,1715141252
87,port-vila,-17.7338,168.3219,26.78,65,40,5.14,VU,1715140986
88,tiksi,71.6872,128.8694,-0.28,94,100,4.49,RU,1715141252
89,khash,28.2211,61.2158,25.84,19,0,1.06,IR,1715141253
90,lihue,21.9789,-159.3672,26.58,70,75,5.66,US,1715141253
91,flin flon,54.7682,-101.865,11.25,52,98,5.57,CA,1715141253
92,puerto baquerizo moreno,-0.9,-89.6,23.04,94,84,3.91,EC,1715141253
93,jayapura,-2.5333,140.7,24.66,93,100,0.6,ID,1715141253
94,madera,37.1666,-119.8343,18.05,61,13,2.03,US,1715141253
95,new norfolk,-42.7826,147.0587,12.73,97,100,0.48,AU,1715141254
96,siwa oasis,29.2041,25.5195,19.29,40,2,3.52,EG,1715141254
97,mitu,1.1983,-70.1733,23.06,98,100,0.42,CO,1715141042
98,izucar de matamoros,18.6,-98.4667,28.2,34,68,1.73,MX,1715141254
99,mugia,43.1041,-9.2179,11.62,74,100,4.26,ES,1715141254
100,cam ranh,11.9214,109.1591,31.98,66,20,5.66,VN,1715141254
101,miquelon,47.0975,-56.3814,4.0,86,28,7.65,PM,1715141255
102,udachny,66.4167,112.4,-0.31,98,100,10.13,RU,1715141255
103,undurkhaan,47.3194,110.6556,14.54,23,100,5.96,MN,1715141255
104,thompson,55.7435,-97.8558,4.13,88,8,5.06,CA,1715141255
105,el battan,36.8037,9.8442,16.82,84,100,4.84,TN,1715141255
106,hermanus,-34.4187,19.2345,10.45,87,0,2.16,ZA,1715141256
107,carnarvon,-24.8667,113.6333,25.21,27,1,0.82,AU,1715141256
108,whitehorse,60.7161,-135.0538,6.43,45,100,5.14,CA,1715141063
109,remire-montjoly,4.9167,-52.2667,26.02,94,75,0.51,GF,1715141256
110,fale old settlement,-9.3852,-171.2468,29.74,73,97,4.95,TK,1715141256
111,bredasdorp,-34.5322,20.0403,12.99,91,4,1.54,ZA,1715141257
112,lewistown,40.5992,-77.5714,19.78,97,20,0.0,US,1715141257
113,ilulissat,69.2167,-51.1,-4.99,86,100,3.6,GL,1715141257
114,kete krachi,7.7939,-0.0498,27.17,83,73,3.31,GH,1715141257
115,constantia,44.1833,28.65,15.39,89,68,5.68,RO,1715141257
116,chokwe,-24.5333,32.9833,17.43,94,0,1.45,MZ,1715141258
117,porto recanati,43.4365,13.6613,13.83,90,22,2.5,IT,1715141258
118,jamestown,42.097,-79.2353,16.96,81,40,3.09,US,1715141258
119,elko,41.0002,-115.5012,2.01,57,49,5.36,US,1715141258
120,talnakh,69.4865,88.3972,-7.11,85,42,2.25,RU,1715141258
121,vorkuta,67.5,64.0,-10.5,85,41,1.79,RU,1715141258
122,enewetak,11.3474,162.3373,27.89,79,63,8.64,MH,1715141259
123,callao,-12.0667,-77.15,20.95,82,100,6.69,PE,1715141259
124,slavyanka,42.8633,131.3847,10.67,69,9,4.48,RU,1715141259
125,varadero,23.1536,-81.2514,25.42,87,43,6.76,CU,1715141259
126,bay roberts,47.5999,-53.2648,5.86,96,50,4.03,CA,1715141260
